ID	MA1	MA4	MA6	MA7	MA13	MA26	MA34	Y5	Y7	Y8	Y9	Y13
7.41_361.2021m/z	121866.2912	169659.5447	125242.0981	151008.4358	185637.0971	131636.5566	266785.8493	240451.5774	206192.1324	395650.7032	645478.1798	297926.8183
7.11_361.2022m/z	262816.169	203529.899	153867.6901	246058.7869	199494.127	171325.9283	255585.3004	353874.2155	219834.1002	349952.9021	604832.2304	379745.4366
7.33_349.2018m/z	120612.5914	188738.538	194645.5477	91616.36888	137592.0857	327774.9376	88655.4658	42418.05119	37952.70174	58221.8857	44139.99297	71298.09307
5.53_339.2174m/z	11214.95766	17525.69324	19.88985524	2459.14949	458.3613746	5675.475204	1983.652595	127347.6027	75485.56642	196870.8749	398481.7904	179980.8245
8.59_365.2332m/z	71230.95487	67936.0451	48607.53888	87773.18323	71960.62795	69193.29967	65681.03519	147707.0851	86750.62336	156987.628	169355.3984	178984.0985
7.11_365.2331m/z	1156127.888	1904288.279	1283032.809	1542507.005	1331607.914	1529337.754	1429625.877	3674225.031	2546624.263	4059668.093	6174905.107	4670439.295
8.65_479.3379m/z	181338.5248	253826.1388	187356.4326	155621.5278	187191.5455	170760.0229	142246.4158	95790.05822	89596.38333	94009.9403	99671.4004	119070.7826
6.54_467.2646m/z	559401.3443	576118.9846	361604.1528	296250.3125	566228.6101	506040.0667	489901.1961	339077.6971	250782.5183	386041.6292	259762.1363	339641.4356
8.93_551.3219m/z	56341.01392	53310.36949	71080.21688	61913.45323	105067.4026	77564.22969	77987.83267	144267.6734	134494.0895	163600.4557	116312.4277	142056.21
5.51_210.0764m/z	137413.4781	125192.7484	35583.29859	156215.8229	110987.9323	132342.2248	72393.73334	119759.8503	16582.4871	28208.01648	41002.40767	33995.11055
7.56_531.2993m/z	130293.0442	280432.5644	262903.761	167649.6439	776971.5102	118643.8655	957680.7087	853556.7448	1671508.207	367948.368	1163508.022	1726185.402
3.51_138.0184m/z	43913.31283	24193.02917	32799.66238	48651.48457	32517.72231	33555.97343	50644.05751	47468.65839	62209.63745	79434.66596	102172.8334	101234.001
10.86_377.2697m/z	43908.98888	11923.21377	7596.176882	66558.19325	16333.31319	54011.2224	13854.68933	152033.4264	68347.79408	147134.7363	72557.16044	28651.17675
9.04_349.2382m/z	34077.69941	51572.22826	19057.71769	27073.06502	30576.84147	18079.69458	24912.01208	521816.862	337152.4743	767976.9564	1128416.956	639915.837
7.42_333.2070m/z	95106.19346	53258.40983	137134.1863	83034.67169	115283.8667	171617.387	184865.9117	180466.5156	156304.4634	288664.831	254422.0413	402869.241
