ID	MA1	MA4	MA6	MA7	MA13	MA26	MA34	Y5	Y7	Y8	Y9	Y13
8.92_427.3201m/z	471285.5692	477335.2973	405864.9358	590198.1021	717698.6043	529156.1374	557170.519	433141.4546	382247.5301	427900.1258	344187.4265	488976.0088
6.72_307.2264m/z	33522.47647	25419.87746	10435.20127	8139.25155	29554.08933	8733.347524	6462.263608	48460.91185	71204.27042	118153.6539	141812.3047	110200.7773
4.27_289.1181m/z	217706.3729	228471.1103	234428.7564	219741.395	204951.5075	220543.8009	237203.818	295806.6689	264195.3021	244179.8365	323546.0887	233249.4233
8.40_443.3515m/z	92383.83945	117830.2508	112709.1407	97106.2296	119250.7748	89508.79852	115689.582	67447.76237	70172.1332	56002.1369	47448.38206	81928.05862
0.89_144.0654m/z	211253.8483	197103.7628	255932.8599	214095.1605	209846.6492	160099.9139	284362.4648	412340.7772	432158.1823	246728.1085	282071.3199	254119.6835
5.19_273.1231m/z	129611.8366	162752.6503	300335.5274	261008.8113	244878.2725	177364.2593	201137.3892	376335.7925	391279.2432	219080.8683	208411.2503	425324.5194
7.26_455.1265m/z	1.27646E-06	3599.3469	2543.428769	23497.79586	6153.569893	1.27646E-06	1.27646E-06	41794.58817	39039.06866	38543.25527	58452.14746	127527.973
8.59_321.2056m/z	26856.19159	27440.03328	43568.61582	29878.47962	39871.21675	39944.92054	43114.14506	82097.50471	70995.16999	114936.0001	99545.43482	322915.9878
7.99_443.3146m/z	181383.0687	242024.7597	210239.2066	205082.6613	311414.8291	225461.4596	204861.2869	157396.4822	142211.2238	161998.7512	162157.4568	184887.0993
8.81_386.2811n	366055.2722	329611.662	194629.6146	384622.9756	169107.7421	248324.9562	127808.4641	207573.0558	95854.40687	158013.0208	131936.8354	112144.3821
1.49_278.0802m/z	79393.64931	74806.64088	16836.45492	65091.82706	65069.33413	138408.793	63024.05015	6993.276896	6430.05374	4842.82992	5595.01664	5177.247796
12.00_520.4355m/z	5232.742145	1159.165648	2365.706577	49431.82334	10683.7976	32678.38032	1.27646E-06	113185.5478	85764.50649	56145.37361	8298.864303	134462.5298
10.11_326.2452n	132425.1761	187205.291	314441.6345	198763.3172	221534.5899	201730.5968	227348.3266	142477.2021	190071.4928	124962.2644	113987.2267	136335.7842
9.12_642.3086m/z	3203.655176	12615.15401	1.27646E-06	2909.866869	4925.857785	12387.43112	11622.26276	26342.59994	26998.82962	190279.8104	41139.37081	44183.54746
7.61_466.3288n	166874.0042	277997.455	162818.9178	123620.4654	208248.9098	163684.9184	149686.0188	101964.7253	85312.70191	147222.0533	120818.6222	143557.9569
6.39_329.2110m/z	26565.0941	31476.09336	14253.85754	16633.68288	30450.20853	22754.46606	35603.11159	81532.65623	82766.75155	103602.9576	135019.1376	52591.78632
1.82_231.1700m/z	180854.999	66783.66268	122675.7967	116565.2951	55054.87698	73881.82259	153706.5552	175039.1839	160215.482	166837.3027	240641.4546	164568.8168
9.33_446.3391n	361560.0536	340853.5373	260505.8849	539817.8449	439314.0279	406561.5602	374555.1575	366438.8872	261976.8492	221481.7697	212328.9213	303397.2565
8.34_444.2867n	232173.7394	212565.3964	180190.4627	210115.2819	327059.4473	244639.0785	196276.0474	325702.477	305617.1804	275277.2767	278962.5897	397850.8505
